Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,18-February-25,"Cumulative Generation
during Feb 2025"
AURAIYA,Uttar Pradesh,Central,NTPC,Solar,40.00,0.12,3.57
DADRI SOLAR,Uttar Pradesh,Central,NTPC,Solar,5.00,0.02,0.32
DEVIKOT Solar,Rajasthan,Central,NTPC,Solar,240.00,1.58,31.18
FATEHGARH SOLAR PV PROJECT,Rajasthan,Central,NTPC,Solar,296.00,2.06,35.30
KOLAYAT SOLAR POWER,Rajasthan,Central,NTPC,Solar,400.00,3.69,63.44
NOKHRA Solar,Rajasthan,Central,NTPC,Solar,300.00,2.02,36.60
NTPC ANTA SOLAR PV STATION,Rajasthan,Central,NTPC,Solar,57.00,0.58,11.27
SINGRAULI SOLAR,Uttar Pradesh,Central,NTPC,Solar,15.00,0.06,1.15
UNCHAHAR SOLAR,Uttar Pradesh,Central,NTPC,Solar,10.00,0.04,0.77
ABC RENEWABLE ENERGY,Rajasthan,Private,IPP,Solar,300.00,2.08,37.70
ACME CHITTORGARH ENERGY PVT LTD.,Rajasthan,Private,IPP,Solar,250.00,1.52,28.29
ACME HEERGARH POWERTECH PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,300.00,2.04,37.12
ADANI RENEWABLE ENERGY RJ LIMITED (ARERJL),Rajasthan,Private,IPP,Solar,200.00,1.31,24.56
ADANI SOLAR ENERGY JAISALMER TWO PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,150.00,0.97,17.94
ADANI SOLAR ENERGY JAISALMER TWO PVT LTD (PROJECT-2),Rajasthan,Private,IPP,Solar,150.00,0.91,17.10
ADANI SOLAR ENERGY RJ TWO PVT LTD_BHADLA,Rajasthan,Private,IPP,Solar,150.00,1.07,19.43
ADANI SOLAR ENERGY RJ TWO PVT LTD_FATEGARH 2,Rajasthan,Private,IPP,Solar,180.00,1.39,25.12
ADEPT RENEWABLE TECHNOLOGIES PVT LTD,Rajasthan,Private,IPP,Solar,110.00,0.68,12.16
ALTRA XERGI POWER PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,260.00,2.70,48.30
AMP ENERGY GREEN SIX PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.64,12.10
AMPLUS AGES PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.61,11.18
AVAADA RJHN PVT LTD,Rajasthan,Private,IPP,Solar,240.00,1.50,26.90
AVAADA SUNCE ENERGY PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,350.00,2.18,39.79
AVAADA SUNRAYS ENERGY PVT LTD,Rajasthan,Private,IPP,Solar,320.00,2.27,40.88
AVAADA SUSTAINABLE RJ PROJECT PVT,Rajasthan,Private,IPP,Solar,300.00,1.84,34.55
AYANA RENEWABLE POWER ONE PVT LTD BIKANER,Rajasthan,Private,IPP,Solar,300.00,2.05,35.72
AYANA RENEWABLE THREE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.96,34.97
AZURE POWER FORTY THREE PRIVATE LTD,Rajasthan,Private,IPP,Solar,600.00,3.97,70.70
AZURE POWER INDIA PVT LTD,Rajasthan,Private,IPP,Solar,200.00,1.16,21.05
AZURE POWER MAPLE PVT LTD,Rajasthan,Private,IPP,Solar,300.00,1.62,29.02
AZURE POWER THIRTY FOUR PRIVATE LTD,Rajasthan,Private,IPP,Solar,130.00,0.85,15.23
BANDERWALA SOLAR PLANT LTD,Rajasthan,Private,IPP,Solar,300.00,1.83,31.90
